TAG	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0083	fig|1121259.3.peg.1495	-	-	-	-	-	-	-	-	-	-	-	-
TAG0084	fig|1121259.3.peg.1496	-	-	-	-	-	-	-	-	-	-	-	-
TAG0085	fig|1121259.3.peg.1500	-	-	-	-	-	-	-	-	-	-	-	-
TAG0086	fig|1121259.3.peg.1504	-	-	-	-	-	-	-	-	-	-	-	-
TAG0087	fig|1121259.3.peg.1505	fig|1214564.3.peg.1789	fig|1387555.3.peg.179	-	fig|1387569.3.peg.467	"fig|31899.10.peg.2874|SAMN05216182_2622,fig|31899.10.peg.477|SAMN05216182_0348"	fig|351627.8.peg.2642|Csac_2450	-	-	-	-	-	-
TAG0088	fig|1121259.3.peg.1516	-	-	-	-	-	-	-	-	fig|632335.8.peg.217	-	-	-
TAG0089	fig|1121259.3.peg.1517	-	-	-	-	-	-	-	-	-	-	-	-
TAG0090	fig|1121259.3.peg.1518	-	-	-	-	-	-	fig|608506.3.peg.2417	-	fig|632335.8.peg.2746	-	fig|632516.3.peg.458	-
TAG0091	fig|1121259.3.peg.1519	-	-	-	-	-	-	-	-	-	-	-	-
TAG0092	fig|1121259.3.peg.1520	-	-	-	-	-	-	-	-	-	-	-	-
TAG0093	fig|1121259.3.peg.1521	-	-	-	-	-	-	-	-	-	-	-	-
TAG0094	fig|1121259.3.peg.1522	-	-	-	-	-	-	-	-	-	-	-	-
TAG0095	fig|1121259.3.peg.1523	-	-	-	-	-	-	-	-	-	-	-	-
TAG0096	fig|1121259.3.peg.1524	-	-	-	-	-	-	-	-	-	-	-	-
TAG0097	fig|1121259.3.peg.1525	-	-	-	-	-	-	-	-	-	-	-	-
TAG0098	fig|1121259.3.peg.1534	-	-	-	-	-	-	-	-	-	-	-	-
TAG0099	fig|1121259.3.peg.1535	-	-	-	-	-	-	-	-	-	-	-	-
TAG0100	fig|1121259.3.peg.1546	-	-	-	-	-	-	-	-	-	-	-	-
TAG0101	fig|1121259.3.peg.1556	-	-	-	-	-	-	-	-	-	-	-	-
