CHB_15351 + CHB_15699 = CHB_15346 + C01077	R01776	-14971.923234830727
C06441 = CHB_16108 + CHB_17071	R01785	11945.88565580477
C01935_kz + 2 CHB_15377 = 2 CHB_4167 + CHB_17306	R01790_kz	6434.437730239413
CHB_43896 = CHB_35374	R01818	5776.084391751094
CHB_18021 + C00279 + CHB_15377 = CHB_18150 + CHB_26078	R01826	-76142.4323822498
C00447 = CHB_16108 + C00279	R01829	6027.989712058858
CHB_16497 + CHB_15377 = CHB_16192 + CHB_18361	R01855	-47588.197821299924
CHB_16497 + CHB_15377 = CHB_17172 + CHB_18036	R01856	2839887.3182652695
CHB_15422 + C00100 + C00288 = CHB_16761 + CHB_26078 + CHB_15466	R01859	-586845.278305961
CHB_17596 + CHB_26078 = CHB_17368 + CHB_35425	R01863	8723.360150558234
CHB_30864 + CHB_15846 = CHB_30839 + CHB_16908	R01869	16582.66655267577
C01103 + CHB_18361 = CHB_30839 + C00119	R01870	55934.95619125011
CHB_16704 + CHB_26078 = CHB_17568 + CHB_35425	R01876	6709.714048842201
CHB_17562 + CHB_15377 = CHB_16704 + CHB_16134	R01878	-18706.34875164865
CHB_16087 = CHB_16383 + CHB_15377	R01900	466.1421744055551
CHB_15422 + MAN_10210 = CHB_16761 + C06441	R01902	-20610.667480910255
C01137 + C00134 = CHB_17509 + C00315	R01920	23171.914478244304
CHB_15422 + CHB_16349 + CHB_29991 = CHB_16027 + CHB_18361 + C03406	R01954	-670.2040332392789
CHB_17172 + CHB_26078 = CHB_16235 + CHB_11563	R01969	21864.528097825707
CHB_4153 = CHB_17886	R01983	4287.025883225317
CHB_30864 + CHB_15377 = CHB_15859	R01993	-3829.7896578049404
C00341 + CHB_16584 = CHB_18361 + C00448	R02003	-90648.3126287146
CHB_48928 = C04442 + CHB_15377	R02036	-41277.02909776839
CHB_15784 + CHB_15377 = CHB_58725 + CHB_30089	R02059	-4575.420602238737
CHB_27625 = CHB_58725	R02060	-3063.8090396845946
C00448 + CHB_16584 = CHB_18361 + C00353	R02061	-90648.31262871355
CHB_15422 + CHB_37515 = CHB_16761 + CHB_40595	R02071	-14709.782328168978
CHB_15422 + CHB_16192 = CHB_16761 + CHB_28862	R02090	1823.9985535394517
CHB_15422 + CHB_18075 = CHB_16761 + CHB_18077	R02093	11062.119610755937
